demo_id,review_id,review_text,source_dataset,source_record_index,usage
DEMO_00,HTL_R07308,该酒店虽然名义上是五星，但我却没看过这么小气的酒店，我通过携程网预定了三千五百多的特级房，明明看到网上写得清清楚楚有赠送的饮料券每房不超过两张，可在登记入住时前台只给一张，真是郁闷！这不是纯粹虚假广告吗！！！我们是两人入住只给一张还不如不要给，前台解释说可以让另一个人买一张！！！简直是讹诈！！！,ChnSentiCorp_htl_all,7308,demo_only_unlabeled
DEMO_01,HTL_R06085,入住的时候我强调不要靠窗的房间，结果晚上休息的时候发现自己根本就是住在马路上。凌晨一点睡下，窗户外传来嘹亮的汽车喇叭声，而且连绵不绝，拉萨的司机在一点多也频繁按喇叭；在床上还可以听到大街上人高声说话的声音、楼下店铺关门的声音。天哪，噩梦啊！马上要求换房间，答应的比较快，原来还有其他的房间空着！他们把条件好的房间空着，却把客人安排在靠近马路的房间！实在可恶,ChnSentiCorp_htl_all,6085,demo_only_unlabeled
DEMO_02,HTL_R06164,因为去长寿路办事，于是订了这个酒店，但却是我在上海住过的最差劲的酒店！酒店是单栋建筑，周边没有绿化等任何美化的环境。门口叫车超级难，因为上海的司机不知为什么在这个酒店附近都不停车，只有当有乘客正好在这个位置下车时才能叫到，在门口吹风真是冷死冻死！大堂在六楼，楼下没有停车场，地下室停车场很小，高级大床间很小又不方正，是个三角形的结构，床对着门，躺在床上有一种很不安全的感觉，因为一开门就看到人，难道携程预订的就只能排这种房间？！房间的设施设备勉强三星，将近六百块一晚真的很划不来，下次绝对不会再踏入这个酒店，也会和朋友说到上海千万不要住这个酒店，性价比太低了！！！,ChnSentiCorp_htl_all,6164,demo_only_unlabeled
DEMO_03,HTL_R02802,首次预订入住精致套房，没有想像的好，感觉装修有点陈旧了。电视机位在卧房，在中间厅里看就嫌小了，不像在上海住的绿地豪生全套房酒店，卧室和厅是各有一个电视的。床和枕头还是比较舒服的，晚上可以睡得很好。上网线的插头有点接触不良，建议更换。酒店大堂在三楼，有点怪。,ChnSentiCorp_htl_all,2802,demo_only_unlabeled
DEMO_04,HTL_R04982,感觉前台的服务不错，都是笑盈盈的。出脚十分的方便，轮渡就在对面，唯一的不足的是中午睡觉还是感觉有些吵。早餐是下面的西餐厅，品种比较丰富，下次去一定要去楼上的观海餐厅尝尝，不过我们在马路对面的24层必胜客望下去，那个餐厅好低啊，呵呵。,ChnSentiCorp_htl_all,4982,demo_only_unlabeled
DEMO_05,HTL_R02247,酒店内部装潢尚算不错，屋子很大，加带早餐。但是地下和一层的配套服务设施就不敢恭维了，天一擦黑大堂里基本上就已经空空如也。可能是地理位置的因素，周边也没有什么好去得地方，还要打车去几公里外的镇上。不过离浦东机场还算比较近，也可以在门口打到车，交通还是很方便的。不过按照酒店的地处位置和周边设施，房价还是偏贵,ChnSentiCorp_htl_all,2247,demo_only_unlabeled
DEMO_06,HTL_R01262,"听朋友介绍选了这里,上周一位日本朋友住在这里,因为语言不通,酒店派专人帮他买船票并送他去码头坐船,非常人性化.我替BABA先生感谢一下!我订的是新装修的标准间,卫生间是半透明的，显得房间很亮,这好象是现在酒店装修的趋势吧~~淋浴有特点,我太太喜欢.总体来说是很满意的.这个酒店是机场巴士的出发站,机场的售票处也设在这里,订票和去机场都很方便。房间给送了果盘和夜间点心,服务员说只有携程的客人是赠送果盘的，不知道是真是假.反正有的吃就好.",ChnSentiCorp_htl_all,1262,demo_only_unlabeled
DEMO_07,HTL_R03525,酒店房间还可以，床也比较舒服。空调声音很小，完全没有感觉，不过温度实在太低，我调到26度还是感觉很冷。卫生间比较小。服务员在请勿打扰的情况下还会敲门询问是否要洗衣物或打扫。交通很方便，到火车站才6元。结帐速度还比较快，打车也很方便。,ChnSentiCorp_htl_all,3525,demo_only_unlabeled
DEMO_08,HTL_R01497,同志们.我三四个月住了这酒店至少十一二次.不图什么.就是安静点.上次他们大堂经理跟我说住十次就什么常住客人.优惠等等...结果..结果..我上次去特地问过前台这次十一次还是十二次了有什么好处.前台说有水果会送上.汗.以前也有的.我也没多问.结果竟然连个水果也没了.其实我也不在乎这点小恩小惠的.但这次去订.竟然要杀我的猪猪...涨价了.这就是对待常往客人的:(哼太坏了.见利忘义的家伙.,ChnSentiCorp_htl_all,1497,demo_only_unlabeled
DEMO_09,HTL_R06153,很一般，住的是一楼的房间，窗户后面一堵墙，只看到窗和墙之间的一堆垃圾。房间的隔音不好，楼上饮水机的声音都能听到，房间里饮水机的声音更响，不关无法入睡。最过分的是，住了两天，每天早上起床，最先看到的，就是小强在墙边爬，太恶心了。宾馆商务中心的电脑上网是10元/小时，还打不开网页。总之，整体印象不好。还有提醒大家一点，宾馆用餐的话，餐费是另外开餐饮发票的，不和房费开在一起的。,ChnSentiCorp_htl_all,6153,demo_only_unlabeled
DEMO_10,HTL_R05143,我和LD总共住了7天6晚，每天有2块巧克力送，酒店的早餐很好。服务员很热情，只要你出去，回来后房间就打扫。不管出去几次，这点很好，很负责！床很大，枕头也是超大的，很舒服！总体感觉不错！没有不满意的地方！,ChnSentiCorp_htl_all,5143,demo_only_unlabeled
