sentence_id,review_id,sentence,context_before,context_after,sentence_index,annotations_json,annotation_status,source_dataset,source_record_index
HTL_S0000,HTL_R05566,厕所差，第一个房间因为厕所堵住换另一个房间，结果仍然是坏的，工程师修到近12点，才弄好，实在不敢想像这种酒店会出这种事情；4.,隔音效果极差，酒店5楼为KTV，我住在10楼，晚上能听得见唱歌声；3.,服务态度差，给人一种冰冷的感觉。,5,,unlabeled,ChnSentiCorp_htl_all,5566
HTL_S0001,HTL_R06313,房间冷的受不了，让服务员那条被子足足半小时，电话打了好几个，那床比木板还硬洗澡的水没有热气，这样的就店实在差劲，就是免费我也不会再住了,,,0,,unlabeled,ChnSentiCorp_htl_all,6313
HTL_S0002,HTL_R05464,服务生明显没有经过培训。,酒店服务意识很差，餐厅不能签单，说是怕消费的高于预授权。,,1,,unlabeled,ChnSentiCorp_htl_all,5464
HTL_S0003,HTL_R04785,"环境非常好,服务也到位.",,公司的韩国人很喜欢住这家酒店.,0,,unlabeled,ChnSentiCorp_htl_all,4785
HTL_S0004,HTL_R07726,枕头太低了不好睡，不过在驻马店这种地方算可以了,,,0,,unlabeled,ChnSentiCorp_htl_all,7726
HTL_S0005,HTL_R00288,如果晚上阳台的窗户不关，前台会打电话到房间提醒客人注意安全。,住的是后面的小楼的一楼，环境不错，花园一样，游泳池是露天的，能够看到一直有人在清洁。,补充点评2007年9月20日：另外，去的时候提前联系会有接机，我们返回的时候由于有老人，所以和客房部联系了一下，也安排了车送我们去机场的。,2,,unlabeled,ChnSentiCorp_htl_all,288
HTL_S0006,HTL_R03046,月湖，门票奇贵无比，环境不错是携家带小的好去处。,风景不能说不美，。。,也是第一次看到狗也要收费的地方，，30元。,24,,unlabeled,ChnSentiCorp_htl_all,3046
HTL_S0007,HTL_R06425,"建议携程赶紧取消这家客栈吧,我也想问一下,难道携程推荐的酒店是这样的吗?","一晚上看到4个,我5岁的女儿问我她晚上睡着的时候小强会咬她鼻子吗?",,3,,unlabeled,ChnSentiCorp_htl_all,6425
HTL_S0008,HTL_R05404,这是我住过的最差的酒店，房间气味难闻，刚打了灭蚊药水，换了三个房间还是如此，服务员说：“住久了就习惯了，每个宾馆都有自己的味道。”,,考！,0,,unlabeled,ChnSentiCorp_htl_all,5404
HTL_S0009,HTL_R06593,早起赶飞机，6点多钟了，服务员仍呼呼大睡，叫了半天才来其他人结帐。,酒店有小蟑螂出现。,感觉这家锦江之星，是我住过最差的一家连锁店，以后肯定不会入住了。,2,,unlabeled,ChnSentiCorp_htl_all,6593
HTL_S0010,HTL_R03284,一进万豪的大门，就喜欢上了万豪，下车到了大堂，我就更加喜欢了，小孩子开心的到处看，真的非常豪华的酒店大堂，太喜欢了。,我是8月7日从银泰换酒店入住到万豪的。,我预定的是行政海景房，海景漂亮，下面的游泳池也非常棒！,1,,unlabeled,ChnSentiCorp_htl_all,3284
HTL_S0011,HTL_R05351,最恼人的是晚上楼下的KTV的音乐声，难以入睡。,可以说是比较差的一个酒店，酒店走道昏暗，走道和房间内都有一股浓浓的霉味，床单看上去摸上去也是不很干净的，卫生间味道更难闻，里面的设施也是发霉的。,,1,,unlabeled,ChnSentiCorp_htl_all,5351
